List	HELCOM area	OSPAR area	Division	Class	Order	Genus	Species	SFLAG	STAGE	Author	AphiaID	AphiaID_link	Trophy	Geometric_shape	FORMULA	SizeClassNo	Nonvalid_SIZCL	Not_accepted_name	Unit	SizeRange	Length(l1)µm	Length(l2)µm	Width(w)µm	Height(h)µm	Diameter(d1)µm	Diameter(d2)µm	No_of_cells/counting_unit	Calculated_volume_um3	Comment	Filament_length_of_cell(µm)	Calculated_Carbon_pg/counting_unit	Comment_on_Carbon_calculation	Corrections/Additions	Synonyms - NOT IMPORTED, NOT handled by ICES	WORMS Rank	"Comment_on_colony_form
 "" - "" indicates solitary life form, i.e. does nor form colonies  - NOT IMPORTED, NOT handled by ICES"
PEG_BVOL2021	x		BIGYRA	Bicoecea	BICOECIDA	Bicosoeca	Bicosoeca			H.J.Clark 1866	103987	http://www.marinespecies.org/aphia.php?p=taxdetails&id=103987	HT	rotational ellipsoid	?/6*d^2*l	1			cell	1-3x3-5	4				2		1	8,373333333			1,588749147				Genus	
PEG_BVOL2021	x		CERCOZOA	Thecofilosea	CRYMONANIDA	Cryothecomonas	Cryothecomonas			Thomsen, Buck, Bolt & Garrison 1991	118011	http://www.marinespecies.org/aphia.php?p=taxdetails&id=118011	HT	rotational ellipsoid	?/6*d^2*l	1			cell	8x10-20	15				8		1	502,4			74,25733423				Genus	
PEG_BVOL2021	x		CERCOZOA	Thecofilosea	CRYMONANIDA	Cryothecomonas	Cryothecomonas scybalophora			Thomsen, Buck, Bolt & Garrison 1991	118047	http://www.marinespecies.org/aphia.php?p=taxdetails&id=118047	HT	rotational ellipsoid	?/6*d^2*l	1			cell	8x5-20	13				8		1	435,4133333			64,92059178				Species	
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium			Nitzsch ex Ralfs 1848	162725	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162725	AU	2 cones	?/12*d^2*h	1			cell	 10-11x150-250				200	10		1	5233,333333			670,4812952				Genus	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium			Nitzsch ex Ralfs 1848	162725	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162725	AU	2 cones	?/12*d^2*h	2			cell	 30x150-200				170	30		1	40035			4530,485598				Genus	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium			Nitzsch ex Ralfs 1848	162725	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162725	AU	2 cones	?/12*d^2*h	3			cell	5-10x100-150				125	7		1	1602,708333			220,7049746				Genus	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium			Nitzsch ex Ralfs 1848	162725	http://www.marinespecies.org/aphia.php?p=taxdetails&id=478557	AU	2 cones	?/12*d^2*h	4			cell	 4-5x80-100				90	4,5		1	476,8875			70,71089234				Genus	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium acutum 			Brébisson 1848	162726	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162726	AU	2 cones	?/12*d^2*h	1			cell	 4x100-150				126	4		1	527,52			77,73849101				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium acutum 			Brébisson 1848	162726	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162726	AU	2 cones	?/12*d^2*h	2			cell	 5x100-150				129	5		1	843,875			120,8450614				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium acutum 			Brébisson 1848	162726	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162726	AU	2 cones	?/12*d^2*h	3			cell	 6x100-150				132	6		1	1243,44			173,9027582				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium parvulum			Nägeli 1849	162727	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162727	AU	2 cones	?/12*d^2*h	1			cell	 10-12x90-110				100	11		1	3166,166667			418,2683117				Species	 -
