taxon_id	ab_id	scientific_name	kingdom	phylum	class	order	family	genus	species	taxon_rank	url
101179	51204	Leegaardiella	Chromista	Ciliophora	Spirotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella		genus	https://www.algaebase.org/search/genus/detail/?genus_id=51204
101180	45767	Lohmanniella	Chromista	Ciliophora	Ciliatea	Oligotrichida	Strobilidiidae	Lohmanniella		genus	https://www.algaebase.org/search/genus/detail/?genus_id=45767
101185	46297	Strobilidium	Chromista	Ciliophora	Ciliatea	Oligotrichida	Strobilidiidae	Strobilidium		genus	https://www.algaebase.org/search/genus/detail/?genus_id=46297
101190	45721	Laboea	Chromista	Ciliophora	Ciliatea	Oligotrichida	Strombidiidae	Laboea		genus	https://www.algaebase.org/search/genus/detail/?genus_id=45721
101195	46299	Strombidium	Chromista	Ciliophora	Ciliatea	Oligotrichida	Strombidiidae	Strombidium		genus	https://www.algaebase.org/search/genus/detail/?genus_id=46299
101196	51227	Tontonia	Chromista	Ciliophora	Ciliatea	Oligotrichida	Strombidiidae	Tontonia		genus	https://www.algaebase.org/search/genus/detail/?genus_id=51227
101198	51224	Strombidinopsis	Chromista	Ciliophora	Ciliatea	Oligotrichida	Strombidinopsidae	Strombidinopsis		genus	https://www.algaebase.org/search/genus/detail/?genus_id=51224
101206	141043	Leegaardiella ovalis	Chromista	Ciliophora	Spirotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	ovalis	species	https://www.algaebase.org/search/species/detail/?species_id=141043
101207	141044	Leegaardiella sol	Chromista	Ciliophora	Spirotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	sol	species	https://www.algaebase.org/search/species/detail/?species_id=141044
101209	56523	Lohmanniella oviformis	Chromista	Ciliophora	Ciliatea	Oligotrichida	Strobilidiidae	Lohmanniella	oviformis	species	https://www.algaebase.org/search/species/detail/?species_id=56523
101264	56521	Laboea strobila	Chromista	Ciliophora	Ciliatea	Oligotrichida	Strombidiidae	Laboea	strobila	species	https://www.algaebase.org/search/species/detail/?species_id=56521
101268	192947	Paratontonia gracillima	Chromista	Ciliophora	Ciliatea	Oligotrichida	Tontoniidae	Paratontonia	gracillima	species	https://www.algaebase.org/search/species/detail/?species_id=192947
101282	141137	Strombidium capitatum	Chromista	Ciliophora	Ciliatea	Oligotrichida	Strombidiidae	Strombidium	capitatum	species	https://www.algaebase.org/search/species/detail/?species_id=141137
101287	56532	Strombidium compressum	Chromista	Ciliophora	Ciliatea	Oligotrichida	Strombidiidae	Strombidium	compressum	species	https://www.algaebase.org/search/species/detail/?species_id=56532
