scientific_name	dyntaxa_id	author	valid_name	taxon_id
Leegaardiella	1010645	Lynn & Montagnes, 1988	Leegaardiella	101179
Lohmanniella	1010646	Leegaard, 1915	Lohmanniella	101180
Strobilidium	1010647	Schewiakoff, 1892	Strobilidium	101185
Laboea	1010656	Lohmann, 1908	Laboea	101190
Strombidium	1010651	Claparède & Lachmann, 1859	Strombidium	101195
Tontonia	1010657	Fauré-Fremiet, 1914	Tontonia	101196
Strombidinopsis	1010650	Kent, 1881	Strombidinopsis	101198
Leegaardiella ovalis	238513	Lynn & Montagnes, 1988	Leegaardiella ovalis	101206
Leegaardiella sol	238514	Lynn & Montagnes, 1988	Leegaardiella sol	101207
Lohmanniella oviformis	238515	Leegaard, 1915	Lohmanniella oviformis	101209
Laboea strobila	238560	Lohmann, 1908	Laboea strobila	101264
Strombidium capitatum	238525	(Leegaard, 1915) Kahl, 1932	Strombidium capitatum	101282
Strombidium compressum	238527	(Leegaard, 1915)	Strombidium compressum	101287
Strombidium conicoides	238528	(Leegaard, 1915)	Strombidium conicoides	101288
Strombidium conicum	238529	(Lohmann, 1908)	Strombidium conicum	101289
Strombidium lagenula	238532	Fuaré-Fremiet	Strombidium lagenula	101310
Strombidium reticulatum	238533	(Leegaard, 1915)	Strombidium reticulatum	101325
Strombidium sulcatum	238534	Claparède et Lachmann, 1858	Strombidium sulcatum	101335
Strombidium vestitum	238535	(Leegaard, 1915)	Strombidium vestitum	101342
Strombidium wulffi	238536	(Wulff, 1919)	Strombidium wulffi	101344
Strombidinopsis acuminata	238524	Fauré-Fremiet, 1924	Strombidinopsis acuminata	101350
Sphacelariales	3000327	Mig.	Sphacelariales	1028
Amastigomonas	1010677	NA	Amastigomonas	103425
Amastigomonas debruynei	238612	De Saedeleer, 1931	Amastigomonas debruynei	103429
Amastigomonas mutabilis	238613	(Griessmann) Molina & Nerad, 1991	Amastigomonas mutabilis	103430
Cafeteria	1010338	Fenchel & D.J.Patt.	Cafeteria	103989
Pseudobodo	1010340	Greissmann	Pseudobobo	103990
Caecitellus	1010341	D.J.Patt., K. Nygaard, G. Steinberg & Turley	Caecitellus	103991
Bicosoeca gracilipes	237158	Clark	Bicosoeca gracilipes	103996
Bicosoeca lacustris	237152	Clark	Bicosoeca lacustris	103997
Bicosoeca maris	237153	Picken	Bicosoeca maris	103998
Bicosoeca mediterranea	237159	Pavillard	Bicosoeca mediterranea	103999
Bicosoeca mignotii	237154	Moestrup, Thomsen & Hibberd in Vørs	Bicosoeca mignotii	104000
Bicosoeca petiolata	237156	(F. Stein) Bourr.	Bicosoeca petiolata	104002
Bicosoeca planctonica	237157	Kisselev	Bicosoeca planctonica	104003
Cafeteria roenbergensis	237146	Fenchel & D.J.Patt.	Cafeteria roenbergensis	104012
Pseudobodo tremulans	237149	Griessmann	Pseudobobo tremulans	104015
Caecitellus parvulus	237150	(Grissmann) Patterson et al., 1993	Caecitellus parvulus	104016
Acanthocorbis	1010537	S.Hara & E.Takah.	Acanthocorbis	105501
Acanthoeca	1010538	W.N.Ellis	Acanthoeca	105502
Bicosta	1010540	B.Leadb.	Bicosta	105505
Calliacantha	1010541	B.Leadb.	Calliacantha	105506
Cosmoeca	1010546	NA	Cosmoeca	105510
Crinolina	1010547	H.A.Thomsen	Crinolina	105511
Crucispina	1010548	NA	Crucispina	105512
Diaphanoeca	1010550	W.N.Ellis	Diaphanoeca	105513
Monocosta	1010552	NA	Monocosta	105516
Nannoeca	1010554	NA	Nannoeca	105517
Parvicorbicula	1010555	Deflandre	Parvicorbicula	105518
Platypleura	1010556	NA	Platypleura	105519
Pleurasiga	1010557	J.Schiller	Pleurasiga	105520
Polyfibula	1016350	NA	Polyfibula	105521
Polyoeca	1010559	NA	Polyoeca	105522
Saepicula	1010561	NA	Saepicula	105524
Saroeca	1010563	NA	Saroeca	105525
Savillea	1010564	NA	Savillea	105526
Stephanoeca	1010565	W.N.Ellis	Stephanoeca	105529
Codosiga	1010545	H.J.Clark	Codosiga	105531
Desmarella	1010549	Kent	Desmarella	105532
Monosiga	1010553	Kent	Monosiga	105535
Proterospongia	1010560	NA	Proterospongia	105536
Pachysoeca	1015226	Ellis	Pachysoeca	105540
Salpingoeca	1010562	H.J. Clark	Salpingoeca	105541
Acanthocorbis apoda	238089	(Leadbeater) Hara & Takahashi, 1984	Acanthocorbis apoda	105542
Acanthocorbis asymmetrica	238090	(Thomsen) Hara & Takahashi, 1984	Acanthocorbis asymmetrica	105543
Acanthocorbis campanula	238091	(Espeland) Thomsen in Thomsen, Buck & Chavez, 1991	Acanthocorbis campanula	105544
Acanthocorbis haurakiana	238092	Thomsen in Thomsen, Buck & Chavez, 1991	Acanthocorbis haurakiana	105545
Acanthocorbis unguiculata	238093	(Thomsen) Hara & Takahashi, 1984	Acanthocorbis unguiculata	105546
Acanthoeca brevipoda	238094	Ellis, 1930	Acanthoeca brevipoda	105547
Acanthoeca spectabilis	238095	Ellis, 1930	Acanthoeca spectabilis	105548
Bicosta antennigera	238097	Moestrup, 1979	Bicosta antennigera	105556
Bicosta minor	238098	(Reynolds) Leadbeater, 1978	Bicosta minor	105557
Bicosta spinifera	238099	(Throndsen) Leadbeater, 1978	Bicosta spinifera	105558
Calliacantha longicaudata	238100	(Leadbeater) Leadbeater, 1978	Calliacantha longicaudata	105559
Calliacantha multispina	238101	Manton & Oates	Calliacantha multispina	105560
Calliacantha natans	238102	(Grøntved) Leadbeater, 1978	Calliacantha natans	105561
Calliacantha simplex	238103	Manton & Oates, 1979	Calliacantha simplex	105562
Cosmoeca norvegica	238109	Thomsen in Thomsen & Boonruang, 1984	Cosmoeca norvegica	105567
Cosmoeca ventricosa	238110	Thomsen in Thomsen & Boonruang, 1984	Cosmoeca ventricosa	105568
Crinolina isefiordensis	238112	Thomsen, 1976	Crinolina isefiordensis	105569
Crucispina cruciformis	238113	Espeland in Espeland & Throndsen, 1986	Crucispina cruciformis	105570
Diaphanoeca grandis	238115	Ellis, 1930	Diaphanoeca grandis	105571
Diaphanoeca pedicellata	238116	Leadbeater, 1972	Diaphanoeca pedicellata	105573
Diaphanoeca sphaerica	238117	Thomsen, 1982	Diaphanoeca sphaerica	105574
Diaphanoeca undulata	238118	Thomsen, 1982	Diaphanoeca undulata	105575
Monocosta fennica	238120	Thomsen, 1979	Monocosta fennica	105578
Nannoeca minuta	238125	(Leadbeater) Thomsen, 1988	Nannoeca minuta	105579
Parvicorbicula circularis	238126	Thomsen, 1976	Parvicorbicula circularis	105582
Parvicorbicula quadricostata	238127	Throndsen, 1970	Parvicorbicula quadricostata	105587
Parvicorbicula socialis	238128	(Meunier) Deflandre, 1960	Parvicorbicula socialis	105588
Parvicorbicula superpositus	238129	Booth, 1990	Parvicorbicula superpositus	105590
Platypleura infundibuliformis	238130	(Leadbeater) Thomsen in Thomsen & Boonruang, 1983	Platypleura infundibuliformis	105591
Pleurasiga echinocostata	238131	Espeland in Espeland & Throndsen, 1986	Pleurasiga echinocostata	105595
Pleurasiga minima	238132	Throndsen, 1970	Pleurasiga minima	105598
Pleurasiga reynoldsii	238133	Throndsen, 1970	Pleurasiga reynoldsii	105601
Polyfibula sphyrelata	263847	(Thomsen) Manton in Manton & Bremer, 1981	Polyfibula sphyrelata	105605
Polyoeca dichotoma	238135	(Kent, 1881)	Polyoeca dichotoma	105607
Saepicula pulchra	238137	Leadbeater, 1980	Saepicula pulchra	105610
Saroeca attenuata	238145	Thomsen, 1979	Saroeca attenuata	105611
Savillea micropora	238146	(Norris) Leadbeater, 1975	Savillea micropora	105612
Savillea parva	238147	(Ellis) Loeblich III, 1967	Savillea parva	105613
Stephanoeca apheles	238148	Thomsen, Buck & Chavez, 1991	Stephanoeca apheles	105617
Stephanoeca complexa	238149	(Norris) Throndsen, 1974	Stephanoeca complexa	105620
Stephanoeca cupula	238150	(Leadbeater) Thomsen, 1988	Stephanoeca cupula	105622
Stephanoeca diplocostata	238151	Ellis, 1930	Stephanoeca diplocostata	105623
Stephanoeca elegans	238152	(Norris) Throndsen, 1974	Stephanoeca elegans	105624
Stephanoeca kentii	238153	Ellis, 1930	Stephanoeca kentii	105625
Stephanoeca norrisii	238154	Thomsen, 1973	Stephanoeca norrisii	105626
Stephanoeca urnula	238155	Thomsen, 1973	Stephanoeca urnula	105631
Codosiga botrytis	238108	(Ehrenb.) Kent	Codosiga botrytis	105633
Desmarella moniliformis	238114	Kent	Desmarella moniliformis	105636
Monosiga marina	238122	Grøntved	Monosiga marina	105643
Monosiga micropelagica	238123	Throndsen	Monosiga micropelagica	105644
Monosiga ovata	238124	Kent, 1880	Monosiga ovata	105645
Salpingoeca aggregata	238138	Valkanov	Salpingoeca aggregata	105654
Salpingoeca amphoridium	238140	James-Clark	Salpingoeca amphoridium	105655
Salpingoeca collaris	238141	Stokes	Salpingoeca collaris	105661
Salpingoeca inquillata	238143	Kent	Salpingoeca inquillata	105668
Salpingoeca marina	238144	James-Clark	Salpingoeca marina	105671
Chroomonas	1010531	Hansg.	Chroomonas	106281
Cryptomonas	1010525	Ehrenb.	Cryptomonas	106282
Plagioselmis	1010527	Butcher ex G.Novarino, I.A.N.Lucas & S.Morrall	Plagioselmis	106283
Teleaulax	1010533	Hill	Teleaulax	106285
Goniomonas	1010528	S.F.N. von Stein	Goniomonas	106286
Hemiselmis	1010530	Parke	Hemiselmis	106287
Pyrenomonas	1016225	Santore	Pyrenomonas	106288
Rhodomonas	1010534	Karsten	Rhodomonas	106289
Chroomonas baltica	238050	(Büttner) N. Carter, 1937	Chroomonas baltica	106292
Chroomonas vectensis	238059	N. Carter, 1937	Chroomonas vectensis	106295
Cryptomonas baltica	6329123	(G.Karst.) Butcher	Cryptomonas baltica	106297
Plagioselmis prolonga	238063	Butcher	Teleaulax amphioxeia	106303
Teleaulax acuta	238062	(Butcher) Hill	Teleaulax acuta	106305
Teleaulax amphioxeia	238063	(Conrad) Hill, 1992	Teleaulax amphioxeia	106306
Goniomonas amphinema	238038	Larsen & Patterson, 1990	Goniomonas amphinema	106307
Goniomonas pacifica	238039	Larsen & Patterson, 1990	Goniomonas pacifica	106308
Goniomonas truncata	238040	(Fresenius) Stein, 1878	Goniomonas truncata	106309
Hemiselmis virescens	238049	Droop, 1955	Hemiselmis virescens	106310
Rhodomonas marina	238074	(Dang.) Lemmerm.	Rhodomonas marina	106314
Rhodomonas salina	238075	(Wislouch) D.R.A.Hill & Wetherbee	Rhodomonas salina	106316
Blastodiniales	3000849	Chatton	Blastodiniales	109386
Desmocapsales	3000672	NA	Desmocapsales	109388
Gonyaulacales	3000851	F.J.R.Taylor	Gonyaulacales	109391
Gymnodiniales	3000619	Apstein	Gymnodiniales	109392
Noctilucales	3000626	Haeckel	Noctilucales	109393
Peridiniales	3000850	Haeckel	Peridiniales	109394
Phytodiniales	3000848	T.A.Chr.	Phytodiniales	109395
Prorocentrales	3000620	Lemmerm.	Prorocentrales	109396
Pyrocystales	3000851	Apstein	Gonyaulacales	109398
Chytriodiniaceae	2003586	Cachon & Cachon-Enj.	Chytriodiniaceae	109400
Amoebophryaceae	2003593	Cachon ex A.R.Loebl.	Amoebophryaceae	109401
Desmocapsaceae	2003575	NA	Desmocapsaceae	109403
Goniodomataceae	2003231	Er.Lindem.	Goniodomataceae	109408
Actiniscaceae	2003248	Kütz.	Actiniscaceae	109409
Gymnodiniaceae	2003241	Lank.	Gymnodiniaceae	109410
Lophodiniaceae	2003245	B.F.Osorio	Lophodiniaceae	109412
Polykrikaceae	2003241	Kof. & Swezy	Gymnodiniaceae	109413
Warnowiaceae	2003242	Er.Lindem.	Warnowiaceae	109415
Leptodiscaceae	2003583	Kof. in Kof. & Swezy	Leptodiscaceae	109417
Noctilucaceae	2003252	Kent	Noctilucaceae	109418
Ceratiaceae	2003239	Kof.	Ceratiaceae	109421
Ceratocoryaceae	2003577	Er.Lindem.	Ceratocoryaceae	109422
Cladopyxidaceae	2003238	Kof.	Cladopyxidaceae	109425
Crypthecodiniaceae	2003236	Biecheler	Crypthecodiniaceae	109426
Dinosphaeraceae	2003578	Er.Lindem.	Dinosphaeraceae	109427
Gonyaulacaceae	2003233	Er.Lindem.	Gonyaulacaceae	109428
