taxon_id	scientific_name	scientific_name_authority	usage_key	url	n_nordic_occurrences	synonym_usage_key	synonym_names	synonyms_n_nordic_occurrences	point_style
101179	Leegaardiella	Leegaardiella Lynn & Montagnes, 1988	8332570	www.gbif.org/species/8332570	383			0	scaled.circles
101180	Lohmanniella	Lohmanniella Leegaard, 1915	7413590	www.gbif.org/species/7413590	1468			0	scaled.circles
101185	Strobilidium	Strobilidium Schewiakoff, 1892	7868132	www.gbif.org/species/7868132	600	8377354	Sphaerotrichium	0	scaled.circles
101190	Laboea	Laboea Lohmann, 1908	7966452	www.gbif.org/species/7966452	15	7491885	Conocylis	0	scaled.circles
101195	Strombidium	Strombidium Claparède & Lachmann, 1859	9433513	www.gbif.org/species/9433513	10177	2571878, 7495582, 7693800, 8255256	Clypeolum, Heterostrombidium, Torquatella, Woodania	0	scaled.circles
101196	Tontonia	Tontonia Fauré-Fremiet, 1914	3204633	www.gbif.org/species/3204633	163			0	scaled.circles
101198	Strombidinopsis	Strombidinopsis Kent, 1881	8321213	www.gbif.org/species/8321213	227			0	scaled.circles
101206	Leegaardiella ovalis	Leegaardiella ovalis Lynn & Montagnes, 1988	7813065	www.gbif.org/species/7813065	174			0	scaled.circles
101207	Leegaardiella sol	Leegaardiella sol Lynn & Montagnes, 1988	7379757	www.gbif.org/species/7379757	118			0	scaled.circles
101209	Lohmanniella oviformis	Lohmanniella oviformis Leegaard, 1915	7354059	www.gbif.org/species/7354059	1349	8202341, 7382581, 8128309	Lohmanniella elegans, Sphaerotrichium elegans, Strobilidium elegans	0	scaled.circles
101264	Laboea strobila	Laboea strobila Lohmann, 1908	7480355	www.gbif.org/species/7480355	941	8042829, 8319754, 8319754	Conocylis helix, Strombidium strobilum, Strombidium strobilus	0	scaled.circles
101268	Paratontonia gracillima	Paratontonia gracillima (Fauré-Fremiet, 1924) Jankowski, 1978	7447346	www.gbif.org/species/7447346	0	7545715, 8024970	Strombidium gracillimum, Tontonia gracillima	0	scaled.circles
