scientific_name	taxon_id	link
Akashiwo sanguinea	232546	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=232546
Alexandrium catenella	231873	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=231873
Alexandrium leei	109710	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109710
Alexandrium minutum	109711	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109711
Alexandrium ostenfeldii	109712	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109712
Alexandrium pseudogonyaulax	109713	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109713
Alexandrium tamarense	109714	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109714
Amphidinium carterae	109723	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109723
Amphidinium klebsii	109735	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109735
Amphidinium operculatum	109745	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109745
Anabaena cylindrica	177649	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=177649
Anabaena lapponica	609454	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=609454
Anabaenopsis arnoldii	609458	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=609458
Anabaenopsis milleri	618706	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=618706
Anagnostidinema amphibium	1313613	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=1313613
Aphanizomenon flosaquae	609460	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=609460
Aphanizomenon gracile	248100	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=248100
Azadinium spinosum	391509	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=391509
Blennothrix lyngbyacea	213723	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=213723
Calothrix parietina	239094	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=239094
Chattonella subsalsa	246590	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=246590
Chrysochromulina leadbeateri	246591	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=246591
Cuspidothrix issatschenkoi	621617	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=621617
Cyanobium bacillare	612415	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=612415
Cylindrospermum stagnale	609468	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=609468
Dinophysis acuminata	109603	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109603
Dinophysis acuta	109604	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109604
Dinophysis caudata	109612	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109612
Dinophysis norvegica	109637	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109637
Dinophysis ovum	646201	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=646201
Dinophysis sacculus	232261	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=232261
Dinophysis tripos	109662	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109662
Dolichospermum circinale	699631	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=699631
Dolichospermum flosaquae	623803	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=623803
Dolichospermum lemmermannii	625374	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625374
Dolichospermum macrosporum	625403	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625403
Dolichospermum mendotae	625404	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625404
Dolichospermum planctonicum	625407	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625407
Dolichospermum sigmoideum	625408	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625408
Dolichospermum spiroides	625411	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625411
Fibrocapsa japonica	233761	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=233761
Geitlerinema splendidum	577244	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=577244
Gloeotrichia echinulata	409630	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=409630
Gonyaulax spinifera	110041	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=110041
Gymnodinium catenatum	109784	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109784
Heterosigma akashiwo	160585	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=160585
Kamptonema formosum	837205	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=837205
Karenia mikimotoi	233024	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=233024
Karlodinium veneficum	233037	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=233037
Limnothrix redekei	177508	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=177508
Lingulodinium polyedra	233592	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=233592
Lyngbya majuscula	660754	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=660754
Microcystis aeruginosa	146558	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=146558
Microcystis botrys	578236	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=578236
Microcystis ichthyoblabe	177245	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=177245
Microcystis viridis	177400	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=177400
Microcystis wesenbergii	146561	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=146561
Nodularia spumigena	160566	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=160566
Pfiesteria piscicida	246598	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=246598
Pfiesteria shumwayae	246599	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=246599
Phaeocystis globosa	160538	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=160538
Phaeocystis pouchetii	115106	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=115106
Phalacroma rotundatum	156505	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=156505
Phormidium uncinatum	661044	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=661044
Planktothrix agardhii	146552	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=146552
Planktothrix prolifica	572062	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=572062
Planktothrix rubescens	572064	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=572064
Prorocentrum cassubicum	110294	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=110294
Prorocentrum cordatum	232376	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=232376
Prorocentrum lima	110301	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=110301
Protoceratium reticulatum	110321	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=110321
Prymnesium calathiferum	246600	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=246600
Prymnesium parvum	160564	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=160564
Prymnesium polylepis	670030	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=670030
Pseudochattonella farcimen	531467	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=531467
Pseudochattonella verruculosa	531446	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=531446
Pseudo-nitzschia calliantha	246605	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=246605
Pseudo-nitzschia delicatissima	149153	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=149153
Pseudo-nitzschia fraudulenta	246606	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=246606
Pseudo-nitzschia granii	375883	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=375883
Pseudo-nitzschia multiseries	175738	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=175738
Pseudo-nitzschia obtusa	531455	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=531455
Pseudo-nitzschia pseudodelicatissima	156548	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=156548
Pseudo-nitzschia pungens	160528	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=160528
Pseudo-nitzschia seriata	149152	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=149152
Pseudo-nitzschia subfraudulenta	418221	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=418221
Pseudo-nitzschia turgidula	246609	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=246609
Raphidiopsis mediterranea	619197	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=619197
Snowella lacustris	146645	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=146645
Trichormus variabilis	146661	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=146661
Vicicitus globosus	707927	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=707927
