strain_name	species	division	class	habitat	strain_link	species_link	scientific_name	taxon_id	url_slug
K-0001	Pyramimonas octopus	Chlorophyta	Pyramimonadophyceae	Marine, Salt Marsh	https://norcca.scrol.net/strain/k-0001	https://norcca.scrol.net/species/pyramimonas-octopus	Pyramimonas octopus	495382	k-0001
K-0003	Pyramimonas orientalis	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0003	https://norcca.scrol.net/species/pyramimonas-orientalis	Pyramimonas orientalis	547692	k-0003
K-0004	Pyramimonas grossii	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0004	https://norcca.scrol.net/species/pyramimonas-grossii	Pyramimonas grossii	495352	k-0004
K-0012	Tetraselmis sp.	Chlorophyta	Chlorodendrophyceae	Marine	https://norcca.scrol.net/strain/k-0012	https://norcca.scrol.net/species/tetraselmis-sp	Tetraselmis	134526	k-0012
K-0013	Pavlova sp.	Haptophyta	Pavlovophyceae	Marine, Sea water, 13°C	https://norcca.scrol.net/strain/k-0013	https://norcca.scrol.net/species/pavlova-sp	Pavlova	249731	k-0013
K-0018	Stigeoclonium sp.	Chlorophyta	Chlorophyceae	Freshwater, Pond	https://norcca.scrol.net/strain/k-0018	https://norcca.scrol.net/species/stigeoclonium-sp	Stigeoclonium	162717	k-0018
K-0019	Nephroselmis olivacea	Chlorophyta	Nephroselmidophyceae	Freshwater	https://norcca.scrol.net/strain/k-0019	https://norcca.scrol.net/species/nephroselmis-olivacea	Nephroselmis olivacea	375678	k-0019
K-0020	Nephroselmis olivacea	Chlorophyta	Nephroselmidophyceae	Freshwater	https://norcca.scrol.net/strain/k-0020	https://norcca.scrol.net/species/nephroselmis-olivacea	Nephroselmis olivacea	375678	k-0020
K-0023	Micromonas pusilla	Chlorophyta	Mamiellophyceae	Marine	https://norcca.scrol.net/strain/k-0023	https://norcca.scrol.net/species/micromonas-pusilla	Micromonas pusilla	134564	k-0023
K-0024	Micromonas pusilla	Chlorophyta	Mamiellophyceae	Marine	https://norcca.scrol.net/strain/k-0024	https://norcca.scrol.net/species/micromonas-pusilla	Micromonas pusilla	134564	k-0024
K-0026	Eutreptiella braarudii	Euglenozoa	Euglenophyceae	Marine	https://norcca.scrol.net/strain/k-0026	https://norcca.scrol.net/species/eutreptiella-braarudii	Eutreptiella braarudii	248121	k-0026
K-0037	Botrytella micromora	Ochrophyta	Phaeophyceae	Marine, On jetty (sublittoral)	https://norcca.scrol.net/strain/k-0037	https://norcca.scrol.net/species/botrytella-micromora	Botrytella micromora	145484	k-0037
K-0038	Myriotrichia claviformis	Ochrophyta	Phaeophyceae	Marine, Epiphyte	https://norcca.scrol.net/strain/k-0038	https://norcca.scrol.net/species/myriotrichia-claviformis	Myriotrichia claviformis	145331	k-0038
K-0039	Delamarea attenuata	Ochrophyta	Phaeophyceae	Marine, On jetty (sublittoral)	https://norcca.scrol.net/strain/k-0039	https://norcca.scrol.net/species/delamarea-attenuata	Delamarea attenuata	145317	k-0039
K-0065	Stragularia clavata	Ochrophyta	Phaeophyceae	Marine, On stone (upper sublittoral)	https://norcca.scrol.net/strain/k-0065	https://norcca.scrol.net/species/stragularia-clavata	Stragularia clavata	145002	k-0065
K-0072	Pogotrichum filiforme	Ochrophyta	Phaeophyceae	Marine, Epiphyte on Laminaria nigripes	https://norcca.scrol.net/strain/k-0072	https://norcca.scrol.net/species/pogotrichum-filiforme	Pogotrichum filiforme	238952	k-0072
K-0075	Heterosigma akashiwo	Ochrophyta	Raphidophyceae	Marine	https://norcca.scrol.net/strain/k-0075	https://norcca.scrol.net/species/heterosigma-akashiwo	Heterosigma akashiwo	160585	k-0075
K-0077	Apedinella radians	Ochrophyta	Dictyochophyceae	Marine	https://norcca.scrol.net/strain/k-0077	https://norcca.scrol.net/species/apedinella-radians	Apedinella radians	248097	k-0077
K-0078	Apedinella radians	Ochrophyta	Dictyochophyceae	Marine	https://norcca.scrol.net/strain/k-0078	https://norcca.scrol.net/species/apedinella-radians	Apedinella radians	248097	k-0078
K-0081	Prymnesium parvum	Haptophyta	Prymnesiophyceae	Brackish	https://norcca.scrol.net/strain/k-0081	https://norcca.scrol.net/species/prymnesium-parvum	Prymnesium parvum	160564	k-0081
K-0082	Prymnesium parvum f. patelliferum	Haptophyta	Prymnesiophyceae	Brackish	https://norcca.scrol.net/strain/k-0082	https://norcca.scrol.net/species/prymnesium-parvum-f-patelliferum	Prymnesium parvum f. patelliferum	688549	k-0082
K-0084	Haematococcus lacustris	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-0084	https://norcca.scrol.net/species/haematococcus-lacustris	Haematococcus lacustris	661559	k-0084
K-0093	Oedogonium fragile	Chlorophyta	Chlorophyceae	Brackish, Dry ditch with sandy mud	https://norcca.scrol.net/strain/k-0093	https://norcca.scrol.net/species/oedogonium-fragile	Oedogonium fragile	608539	k-0093
K-0094	Oedogonium vaucheri	Chlorophyta	Chlorophyceae	Freshwater, On straw in ditch	https://norcca.scrol.net/strain/k-0094	https://norcca.scrol.net/species/oedogonium-vaucheri	Oedogonium vaucheri	655137	k-0094
K-0096	Phaeostroma pustulosum	Ochrophyta	Phaeophyceae	Marine, Epiphyte on Chaetomorpha, 2m depth	https://norcca.scrol.net/strain/k-0096	https://norcca.scrol.net/species/phaeostroma-pustulosum	Phaeostroma pustulosum	145455	k-0096
K-0097	Kuckuckia spinosa	Ochrophyta	Phaeophyceae	Marine, Littoral tide pool	https://norcca.scrol.net/strain/k-0097	https://norcca.scrol.net/species/kuckuckia-spinosa	Kuckuckianosa	145443	k-0097
K-0112	Scytosiphon lomentaria	Ochrophyta	Phaeophyceae	Marine	https://norcca.scrol.net/strain/k-0112	https://norcca.scrol.net/species/scytosiphon-lomentaria	Scytosiphon lomentaria	145869	k-0112
K-0117	Petalonia fascia	Ochrophyta	Phaeophyceae	Marine, Littoral zone, on rock	https://norcca.scrol.net/strain/k-0117	https://norcca.scrol.net/species/petalonia-fascia	Petalonia fascia	145863	k-0117
K-0148	Klebsormidium sp.	Charophyta	Klebsormidiophyceae	Freshwater	https://norcca.scrol.net/strain/k-0148	https://norcca.scrol.net/species/klebsormidium-sp	Klebsormidium	369816	k-0148
K-0162	Tribonema minus	Ochrophyta	Xanthophyceae	Freshwater	https://norcca.scrol.net/strain/k-0162	https://norcca.scrol.net/species/tribonema-minus	Tribonema minus	610084	k-0162
K-0183	Scytosiphon lomentaria	Ochrophyta	Phaeophyceae	Marine, On smaller stones and mussel shells	https://norcca.scrol.net/strain/k-0183	https://norcca.scrol.net/species/scytosiphon-lomentaria	Scytosiphon lomentaria	145869	k-0183
K-0187	Planctonema lauterbornii	Chlorophyta	Trebouxiophyceae	Freshwater	https://norcca.scrol.net/strain/k-0187	https://norcca.scrol.net/species/planctonema-lauterbornii	Planctonema lauterbornii	575737	k-0187
K-0212	Hyella sp.	Cyanobacteria	Cyanophyceae	Marine, In calcareous shell	https://norcca.scrol.net/strain/k-0212	https://norcca.scrol.net/species/hyella-sp	Hyella	146627	k-0212
K-0243	Tetraselmis verrucosa	Chlorophyta	Chlorodendrophyceae	Marine	https://norcca.scrol.net/strain/k-0243	https://norcca.scrol.net/species/tetraselmis-verrucosa	Tetraselmis verrucosa	376160	k-0243
K-0251	Nephroselmis rotunda	Chlorophyta	Nephroselmidophyceae	Marine	https://norcca.scrol.net/strain/k-0251	https://norcca.scrol.net/species/nephroselmis-rotunda	Nephroselmis rotunda	134542	k-0251
K-0252	Prymnesium parvum f. patelliferum	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-0252	https://norcca.scrol.net/species/prymnesium-parvum-f-patelliferum	Prymnesium parvum f. patelliferum	688549	k-0252
K-0253	Pyramimonas grossii	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0253	https://norcca.scrol.net/species/pyramimonas-grossii	Pyramimonas grossii	495352	k-0253
K-0254	Pyramimonas mantoniae	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0254	https://norcca.scrol.net/species/pyramimonas-mantoniae	Pyramimonas mantoniae	495477	k-0254
K-0255	Pyramimonas cirolanae	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0255	https://norcca.scrol.net/species/pyramimonas-cirolanae	Pyramimonas cirolanae	495421	k-0255
K-0265	Pyramimonas moestrupii	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0265	https://norcca.scrol.net/species/pyramimonas-moestrupii	Pyramimonas moestrupii	495381	k-0265
K-0269	Nephroselmis rotunda	Chlorophyta	Nephroselmidophyceae	Marine	https://norcca.scrol.net/strain/k-0269	https://norcca.scrol.net/species/nephroselmis-rotunda	Nephroselmis rotunda	134542	k-0269
K-0280	Dicrateria rotunda	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-0280	https://norcca.scrol.net/species/dicrateria-rotunda	Dicrateria rotunda	840109	k-0280
K-0282	Thalassiosira gravida	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-0282	https://norcca.scrol.net/species/thalassiosira-gravida	Thalassiosira gravida	149102	k-0282
K-0284	Mantoniella squamata	Chlorophyta	Mamiellophyceae	Marine	https://norcca.scrol.net/strain/k-0284	https://norcca.scrol.net/species/mantoniella-squamata	Mantoniella squamata	134563	k-0284
K-0284A	Mantoniella squamata	Chlorophyta	Mamiellophyceae	Marine	https://norcca.scrol.net/strain/k-0284a	https://norcca.scrol.net/species/mantoniella-squamata	Mantoniella squamata	134563	k-0284a
K-0285	Pyramimonas disomata	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0285	https://norcca.scrol.net/species/pyramimonas-disomata	Pyramimonas disomata	495333	k-0285
K-0288	Ulvella scutata	Chlorophyta	Ulvophyceae	Marine, Epiphyte on Rhodomela confervoides, drift	https://norcca.scrol.net/strain/k-0288	https://norcca.scrol.net/species/ulvella-scutata	Ulvella scutata	732330	k-0288
K-0289	Ulvella scutata	Chlorophyta	Ulvophyceae	Marine, Epiphyte on Polysiphonia urceolata	https://norcca.scrol.net/strain/k-0289	https://norcca.scrol.net/species/ulvella-scutata	Ulvella scutata	732330	k-0289
K-0292	Leptolyngbya ectocarpi	Cyanobacteria	Cyanophyceae	Marine, Small reefs 4-6m	https://norcca.scrol.net/strain/k-0292	https://norcca.scrol.net/species/leptolyngbya-ectocarpi	Leptolyngbya ectocarpi	615645	k-0292
K-0293	Pyramimonas propulsa	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0293	https://norcca.scrol.net/species/pyramimonas-propulsa	Pyramimonas propulsa	495347	k-0293
K-0295	Prorocentrum cordatum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-0295	https://norcca.scrol.net/species/prorocentrum-cordatum	Prorocentrum cordatum	232376	k-0295
K-0296	Tetraselmis sp.	Chlorophyta	Chlorodendrophyceae	Marine	https://norcca.scrol.net/strain/k-0296	https://norcca.scrol.net/species/tetraselmis-sp	Tetraselmis	134526	k-0296
K-0297	Tetraselmis suecica	Chlorophyta	Chlorodendrophyceae	Marine	https://norcca.scrol.net/strain/k-0297	https://norcca.scrol.net/species/tetraselmis-suecica	Tetraselmis suecica	163447	k-0297
K-0302	Ulvella scutata	Chlorophyta	Ulvophyceae	Marine, Epiphyte on Rhodomela confervoides	https://norcca.scrol.net/strain/k-0302	https://norcca.scrol.net/species/ulvella-scutata	Ulvella scutata	732330	k-0302
K-0332	Rhodomonas baltica	Cryptophyta	Cryptophyceae	Marine	https://norcca.scrol.net/strain/k-0332	https://norcca.scrol.net/species/rhodomonas-baltica	Rhodomonas baltica	106297	k-0332
K-0334	Eutreptiella gymnastica	Euglenozoa	Euglenophyceae	Marine	https://norcca.scrol.net/strain/k-0334	https://norcca.scrol.net/species/eutreptiella-gymnastica	Eutreptiella gymnastica	110652	k-0334
K-0336	Prorocentrum cordatum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-0336	https://norcca.scrol.net/species/prorocentrum-cordatum	Prorocentrum cordatum	232376	k-0336
