genus	species_separated_by_underscore	species	AphiaID	Match type
Halamphora	Halamphora_coffeaeformis	Halamphora coffeaeformis	624065	exact
Nitzschia	Nitzschia_bizertensis	Nitzschia bizertensis	759283	exact
Nitzschia	Nitzschia_navis-varingica	Nitzschia navis-varingica	246595	exact
Pseudo-nitzschia	Pseudo-nitzschia_abrensis	Pseudo-nitzschia abrensis	832130	exact
Pseudo-nitzschia	Pseudo-nitzschia_australis	Pseudo-nitzschia australis	246604	exact
Pseudo-nitzschia	Pseudo-nitzschia_batesiana	Pseudo-nitzschia batesiana	839795	exact
Pseudo-nitzschia	Pseudo-nitzschia_bipertita	Pseudo-nitzschia bipertita	1016708	exact
Pseudo-nitzschia	Pseudo-nitzschia_brasiliana	Pseudo-nitzschia brasiliana	387996	exact
Pseudo-nitzschia	Pseudo-nitzschia_caciantha	Pseudo-nitzschia caciantha	531450	exact
Pseudo-nitzschia	Pseudo-nitzschia_calliantha	Pseudo-nitzschia calliantha	246605	exact
Pseudo-nitzschia	Pseudo-nitzschia_cuspidata	Pseudo-nitzschia cuspidata	370512	exact
Pseudo-nitzschia	Pseudo-nitzschia_delicatissima	Pseudo-nitzschia delicatissima	149153	exact
Pseudo-nitzschia	Pseudo-nitzschia_fraudulenta	Pseudo-nitzschia fraudulenta	246606	exact
Pseudo-nitzschia	Pseudo-nitzschia_fukuyoi	Pseudo-nitzschia fukuyoi	839796	exact
Pseudo-nitzschia	Pseudo-nitzschia_galaxiae	Pseudo-nitzschia galaxiae	246607	exact
Pseudo-nitzschia	Pseudo-nitzschia_granii	Pseudo-nitzschia granii	375883	exact
Pseudo-nitzschia	Pseudo-nitzschia_hasleana	Pseudo-nitzschia hasleana	707766	exact
Pseudo-nitzschia	Pseudo-nitzschia_kodamae	Pseudo-nitzschia kodamae	863362	exact
Pseudo-nitzschia	Pseudo-nitzschia_lundholmiae	Pseudo-nitzschia lundholmiae	839797	exact
Pseudo-nitzschia	Pseudo-nitzschia_multiseries	Pseudo-nitzschia multiseries	175738	exact
Pseudo-nitzschia	Pseudo-nitzschia_multistriata	Pseudo-nitzschia multistriata	246608	exact
Pseudo-nitzschia	Pseudo-nitzschia_obtusa	Pseudo-nitzschia obtusa	531455	exact
Pseudo-nitzschia	Pseudo-nitzschia_plurisecta	Pseudo-nitzschia plurisecta	832129	exact
Pseudo-nitzschia	Pseudo-nitzschia_pseudodelicatissima	Pseudo-nitzschia pseudodelicatissima	156548	exact
Pseudo-nitzschia	Pseudo-nitzschia_pungens	Pseudo-nitzschia pungens	160528	exact
Pseudo-nitzschia	Pseudo-nitzschia_seriata	Pseudo-nitzschia seriata	149152	exact
Pseudo-nitzschia	Pseudo-nitzschia_simulans	Pseudo-nitzschia simulans	1021992	exact
Pseudo-nitzschia	Pseudo-nitzschia_subcurvata	Pseudo-nitzschia subcurvata	411767	exact
Pseudo-nitzschia	Pseudo-nitzschia_subfraudulenta	Pseudo-nitzschia subfraudulenta	418221	exact
Pseudo-nitzschia	Pseudo-nitzschia_subpacifica	Pseudo-nitzschia subpacifica	418222	exact
Pseudo-nitzschia	Pseudo-nitzschia_turgidula	Pseudo-nitzschia turgidula	246609	exact
Chrysochromulina	Chrysochromulina_leadbeateri	Chrysochromulina leadbeateri	246591	exact
Phaeocystis	Phaeocystis_globosa	Phaeocystis globosa	160538	exact
Phaeocystis	Phaeocystis_pouchetii	Phaeocystis pouchetii	115106	exact
Prymnesium	Prymnesium_calathiferum	Prymnesium calathiferum	246600	exact
Prymnesium	Prymnesium_faveolatum	Prymnesium faveolatum	246601	exact
Prymnesium	Prymnesium_parvum	Prymnesium parvum	160564	exact
Prymnesium	Prymnesium_polylepis	Prymnesium polylepis	670030	exact
Prymnesium	Prymnesium_zebrinum	Prymnesium zebrinum	246603	exact
Amphidinium	Amphidinium_carterae	Amphidinium carterae	109723	exact
Amphidinium	Amphidinium_gibbosum	Amphidinium gibbosum	547429	exact
Amphidinium	Amphidinium_klebsii	Amphidinium klebsii	109735	exact
Amphidinium	Amphidinium_operculatum	Amphidinium operculatum	109745	exact
Dinophysis	Dinophysis_acuminata	Dinophysis acuminata	109603	exact
Dinophysis	Dinophysis_acuta	Dinophysis acuta	109604	exact
Dinophysis	Dinophysis_caudata	Dinophysis caudata	109612	exact
Dinophysis	Dinophysis_fortii	Dinophysis fortii	109624	exact
Dinophysis	Dinophysis_infundibulum	Dinophysis infundibulum	109629	exact
Dinophysis	Dinophysis_miles	Dinophysis miles	232209	exact
Dinophysis	Dinophysis_norvegica	Dinophysis norvegica	109637	exact
Dinophysis	Dinophysis_ovum	Dinophysis ovum	646201	exact
Dinophysis	Dinophysis_sacculus	Dinophysis sacculus	232261	exact
Dinophysis	Dinophysis_tripos	Dinophysis tripos	109662	exact
Phalacroma	Phalacroma_mitra	Phalacroma mitra	232491	exact
Phalacroma	Phalacroma_rotundatum	Phalacroma rotundatum	156505	exact
Alexandrium	Alexandrium_affine	Alexandrium affine	109707	exact
Alexandrium	Alexandrium_andersonii	Alexandrium andersonii	246835	exact
Alexandrium	Alexandrium_australiense	Alexandrium australiense	833063	exact
