Link to NORCCA website	scientific_name	AphiaID
https://norcca.scrol.net/species/pyramimonas-octopus	Pyramimonas octopus	495382
https://norcca.scrol.net/species/pyramimonas-tetrarhynchus	Pyramimonas tetrarhynchus	495194
https://norcca.scrol.net/species/pyramimonas-orientalis	Pyramimonas orientalis	547692
https://norcca.scrol.net/species/pyramimonas-grossii	Pyramimonas grossii	495352
https://norcca.scrol.net/species/pyramimonas-parkeae	Pyramimonas parkeae	495287
https://norcca.scrol.net/species/tetraselmis-contracta	Tetraselmis contracta	134544
https://norcca.scrol.net/species/tetraselmis-sp	Tetraselmis	134526
https://norcca.scrol.net/species/pavlova-sp	Pavlova	249731
https://norcca.scrol.net/species/stigeoclonium-sp	Stigeoclonium	162717
https://norcca.scrol.net/species/nephroselmis-olivacea	Nephroselmis olivacea	375678
https://norcca.scrol.net/species/micromonas-pusilla	Micromonas pusilla	134564
https://norcca.scrol.net/species/eutreptiella-braarudii	Eutreptiella braarudii	248121
https://norcca.scrol.net/species/botrytella-micromora	Botrytella micromora	145484
https://norcca.scrol.net/species/myriotrichia-claviformis	Myriotrichia claviformis	145331
https://norcca.scrol.net/species/delamarea-attenuata	Delamarea attenuata	145317
https://norcca.scrol.net/species/stragularia-clavata	Stragularia clavata	145002
https://norcca.scrol.net/species/feldmannia-simplex	Feldmannia simplex	145421
https://norcca.scrol.net/species/feldmannia-mitchelliae	Feldmannia mitchelliae	699648
https://norcca.scrol.net/species/compsonema-minutum	Compsonema minutum	145859
https://norcca.scrol.net/species/pogotrichum-filiforme	Pogotrichum filiforme	238952
https://norcca.scrol.net/species/heterosigma-akashiwo	Heterosigma akashiwo	160585
https://norcca.scrol.net/species/apedinella-radians	Apedinella radians	248097
https://norcca.scrol.net/species/prymnesium-parvum	Prymnesium parvum	160564
https://norcca.scrol.net/species/prymnesium-parvum-f-patelliferum	Prymnesium parvum f. patelliferum	688549
https://norcca.scrol.net/species/chlamydomonas-geitleri	Chlamydomonas geitleri	664932
https://norcca.scrol.net/species/haematococcus-lacustris	Haematococcus lacustris	661559
https://norcca.scrol.net/species/oedogonium-fragile	Oedogonium fragile	608539
https://norcca.scrol.net/species/oedogonium-vaucheri	Oedogonium vaucheri	655137
https://norcca.scrol.net/species/mesotaenium-caldariorum	Mesotaenium caldariorum	611218
https://norcca.scrol.net/species/phaeostroma-pustulosum	Phaeostroma pustulosum	145455
https://norcca.scrol.net/species/kuckuckia-spinosa	Kuckuckianosa	145443
https://norcca.scrol.net/species/pylaiella-varia	Pylaiella varia	371077
https://norcca.scrol.net/species/coelocladia-arctica	Coelocladia arctica	145349
https://norcca.scrol.net/species/scytosiphon-lomentaria	Scytosiphon lomentaria	145869
https://norcca.scrol.net/species/pseudanabaena-sp	Pseudanabaena	177588
https://norcca.scrol.net/species/petalonia-fascia	Petalonia fascia	145863
