genus	species_separated_by_underscore	species	AphiaID	Match type
Halamphora	Halamphora_coffeaeformis	Halamphora coffeaeformis	624065	exact
Pseudo-nitzschia	Pseudo-nitzschia_calliantha	Pseudo-nitzschia calliantha	246605	exact
Pseudo-nitzschia	Pseudo-nitzschia_delicatissima	Pseudo-nitzschia delicatissima	149153	exact
Pseudo-nitzschia	Pseudo-nitzschia_fraudulenta	Pseudo-nitzschia fraudulenta	246606	exact
Pseudo-nitzschia	Pseudo-nitzschia_multiseries	Pseudo-nitzschia multiseries	175738	exact
Pseudo-nitzschia	Pseudo-nitzschia_pseudodelicatissima	Pseudo-nitzschia pseudodelicatissima	156548	exact
Pseudo-nitzschia	Pseudo-nitzschia_pungens	Pseudo-nitzschia pungens	160528	exact
Pseudo-nitzschia	Pseudo-nitzschia_seriata	Pseudo-nitzschia seriata	149152	exact
Pseudo-nitzschia	Pseudo-nitzschia_turgidula	Pseudo-nitzschia turgidula	246609	exact
Chrysochromulina	Chrysochromulina_leadbeateri	Chrysochromulina leadbeateri	246591	exact
Phaeocystis	Phaeocystis_globosa	Phaeocystis globosa	160538	exact
Phaeocystis	Phaeocystis_pouchetii	Phaeocystis pouchetii	115106	exact
Prymnesium	Prymnesium_calathiferum	Prymnesium calathiferum	246600	exact
Prymnesium	Prymnesium_parvum	Prymnesium parvum	160564	exact
Prymnesium	Prymnesium_polylepis	Prymnesium polylepis	670030	exact
Amphidinium	Amphidinium_carterae	Amphidinium carterae	109723	exact
Amphidinium	Amphidinium_klebsii	Amphidinium klebsii	109735	exact
Amphidinium	Amphidinium_operculatum	Amphidinium operculatum	109745	exact
Dinophysis	Dinophysis_acuminata	Dinophysis acuminata	109603	exact
Dinophysis	Dinophysis_acuta	Dinophysis acuta	109604	exact
Dinophysis	Dinophysis_caudata	Dinophysis caudata	109612	exact
Dinophysis	Dinophysis_norvegica	Dinophysis norvegica	109637	exact
Dinophysis	Dinophysis_ovum	Dinophysis ovum	646201	exact
Dinophysis	Dinophysis_sacculus	Dinophysis sacculus	232261	exact
Dinophysis	Dinophysis_tripos	Dinophysis tripos	109662	exact
Phalacroma	Phalacroma_rotundatum	Phalacroma rotundatum	156505	exact
Alexandrium	Alexandrium_minutum	Alexandrium minutum	109711	exact
Alexandrium	Alexandrium_ostenfeldii	Alexandrium ostenfeldii	109712	exact
Alexandrium	Alexandrium_tamarense	Alexandrium tamarense	109714	exact
Gonyaulax	Gonyaulax_spinifera	Gonyaulax spinifera	110041	exact
Lingulodinium	Lingulodinium_polyedra	Lingulodinium polyedra	233592	exact
Protoceratium	Protoceratium_reticulatum	Protoceratium reticulatum	110321	exact
Gymnodinium	Gymnodinium_catenatum	Gymnodinium catenatum	109784	exact
Karenia	Karenia_mikimotoi	Karenia mikimotoi	233024	exact
Karlodinium	Karlodinium_veneficum	Karlodinium veneficum	233037	exact
Prorocentrum	Prorocentrum_cassubicum	Prorocentrum cassubicum	110294	exact
Prorocentrum	Prorocentrum_cordatum	Prorocentrum cordatum	232376	exact
Prorocentrum	Prorocentrum_lima	Prorocentrum lima	110301	exact
Pfiesteria	Pfiesteria_piscicida	Pfiesteria piscicida	246598	exact
Azadinium	Azadinium_spinosum	Azadinium spinosum	391509	exact
Chattonella	Chattonella_antiqua	Chattonella antiqua	233778	exact
Chattonella	Chattonella_subsalsa	Chattonella subsalsa	246590	exact
Fibrocapsa	Fibrocapsa_japonica	Fibrocapsa japonica	233761	exact
Heterosigma	Heterosigma_akashiwo	Heterosigma akashiwo	160585	exact
Pseudochattonella	Pseudochattonella_farcimen	Pseudochattonella farcimen	531467	exact
Pseudochattonella	Pseudochattonella_verruculosa	Pseudochattonella verruculosa	531446	exact
