provider	synonym_name	author	taxon_id	usage_key
worms	Arachnidium		101185	7545296
worms	Sphaerotrichium	Wulff, 1919	101185	8377354
worms	Conocylis	Meunier, 1910	101190	7491885
worms	Clypeolum	Gourret & Roeser, 1888	101195	2571878
worms	Heterostrombidium	Song, 1999	101195	7495582
worms	Torquatella	Lankester, 1874	101195	7693800
worms	Woodania	Leegaard, 1915	101195	8255256
worms	Lohmanniella elegans	(Wulff, 1919) Kahl, 1932	101209	8202341
worms	Sphaerotrichium elegans	Wulff, 1919	101209	7382581
worms	Strobilidium elegans	(Wulff, 1919) Maeda, 1986	101209	8128309
worms	Conocylis helix	Meunier, 1910	101264	8042829
worms	Strombidium strobilum	(Lohmann, 1908) Wulff, 1919	101264	8319754
worms	Strombidium strobilus	(Lohmann, 1908) Wulff, 1919	101264	8319754
worms	Strombidium gracillimum	(Fauré-Fremiet, 1924) Alekperov & Mamajeva, 1992	101268	7545715
worms	Tontonia gracillima	Fauré-Fremiet, 1924	101268	8024970
worms	Laboea capitata	Leegaard, 1915	101282	7788766
worms	Laboea compressa	Leegaard, 1915	101287	8427037
worms	Woodania conicoides	Leegaard, 1915	101288	7515469
worms	Laboea acuminata	Leegaard, 1915	101289	7910327
worms	Laboea conica	Lohmann, 1908	101289	3204641
worms	Strombidium acuminatum	(Leegaard, 1915) Kahl, 1932	101289	7548351
worms	Laboea reticulata	Leegaard, 1915	101325	7591532
worms	Strombidium minutum	Wulff, 1919	101335	7615291
worms	Laboea delicatissima	Leegaard, 1915	101342	8029036
worms	Laboea vestita	Leegaard, 1915	101342	7980230
worms	Strombidium delicatissimum	(Leegaard, 1915) Busch, 1921	101342	7523039
worms	Strobilidium acuminatum	(Fauré-Fremiet, 1924) Kahl, 1932	101350	8016744
worms	Thecamonas trahens	Larsen & Patterson, 1990	103429	8231192
worms	Thecamonas mutabilis	Larsen & Patterson, 1990	103430	8231192
worms	Bicosoeca pocillum	sensu Griessmann, 1913	103998	3202325
worms	Poteriodendron petiolatum	F.Stein, 1878	104002	3202336
worms	Stylobryon petiolatum	Lemmermann	104002	3194304
worms	Bicosoeca annulata	(Lackey) Bourelly, 1951	104003	4377351
worms	Bodo parvulus	Griessmann, 1913	104016	4281167
worms	Pseudobodo parvulus	(Griessmann) Garza & Suttle, 1995	104016	9035496
worms	Pseudomicrosportella		105501	4378231
worms	Acanthoecopsis apoda	Leadbeater, 1972	105542	4378199
worms	Acanthoecopsis campanula	Espeland, 1986	105544	4378199
worms	Acanthoecopsis unguiculata	Thomsen, 1973	105546	4378238
worms	Acanthocorbis brevipoda		105547	4378233
worms	Salpingoeca minor	N.Reynolds, 1976	105557	5422050
worms	Salpingoeca virgata	Parke & Leadbeater, 1977	105557	7812432
worms	Salpingoeca spinifera	Throndsen, 1970	105558	7812432
worms	Salpingoeca longicaudata	Leadbeater, 1975	105559	7855622
worms	Salpingoeca natans	Grøntved, 1956	105561	8087883
worms	Salpingoeca cruciformis	Leadbeater, 1974	105570	7812432
worms	Campanoeca pedicellata	(Leadbeater, 1972) Throndsen, 1974	105573	3194473
worms	Pleurasiga minima var. minuta	Leadbeater, 1972	105579	7809870
worms	Pleurasiga reynoldsii	Throndsen aff. Leadbeater, 1973	105595	8128087
worms	Campanoeca dilatata	Throndsen, 1974	105605	7515731
worms	Pleurasiga caudata	Leadbeater, 1975	105605	4269998
worms	Pleurasiga sphyrelata	Thomsen, 1973	105605	8329230
worms	Polyfibula caudata	Manton in Manton & Bremer, 1981	105605	7367695
worms	Polyfibula hexacostata	Manton in Manton & Bremer, 1981	105605	7367695
worms	Polyfibula stipitata	Manton in Manton & Bremer, 1981	105605	7367695
worms	Acanthoecopsis spiculifera	Norris, 1965	105607	4378199
worms	Pleurasiga micropora	Norris, 1965	105612	8329230
worms	Ellisiella parva	(Ellis) Norris, 1965	105613	3236045
worms	Pleurasiga complexa	Norris, 1965	105620	8329230
worms	Pleurasiga cupula	Leadbeater, 1972	105622	8329230
worms	Pleurasiga elegans	Norris, 1965	105624	8329230
worms	Sportelloeca kentii	(Ellis) Norris, 1965	105626	4378216
worms	Monosiga lemmermannii	Skvortsov & Noda, 1972	105645	7469057
worms	Salpingoeca curvipes	Kent, 1880	105668	7812432
worms	Cyanomonas	Büttner, 1910	106281	5423990
worms	Cyanomonas baltica	J.Büttner, 1910	106292	6540143
worms	Rhodomonas baltica	Karsten, 1898	106297	5424015
worms	Plagioselmis punctata	Butcher, 1967	106303	3202471
worms	Cryptomonas acuta	Butcher, 1952	106305	3202530
worms	Rhodomonas acuta	(Butcher) Erata & Chihara, 1989	106305	3202546
worms	Chroomonas amphioxeia	(Conrad) Butcher	106306	4281025
worms	Chroomonas amphioxieia	(Conrad) Butcher, 1967	106306	3202526
worms	Rhodomonas amphioxeia	W.Conrad, 1939	106306	5424001
worms	Cyathomonas truncata	(Fresenius) Fisch, 1885	106309	8214161
worms	Monas truncata	Fresenius, 1858	106309	3202405
worms	Cryptomonas marina	P.A.Dangeard, 1892	106314	3202558
worms	Rhodomonas pelagica	Lohmann	106314	3202546
worms	Chroomonas salina	(Wislough) Butcher, 1967	106316	3202590
worms	Cryptomonas salina	Wislouch, 1924	106316	3202430
worms	Pyrenomonas salina	(S.M.Wislouch) U.J.Santore, 1984	106316	4376439
worms	Blastodinida	Chatton, 1906	109386	8884878
worms	Gonyaulacida		109391	9204498
worms	Gymnodiniida		109392	9166979
worms	Noctilucida		109393	8898129
worms	Peridiniida		109394	8967934
worms	Prorocentrida		109396	8893983
worms	Pyrocystida		109398	8985680
worms	Triadiniaceae		109408	7853866
worms	Gymnodiniidae		109410	7571396
worms	Lophodiniidae		109412	8075931
worms	Polykrikidae		109413	8010847
worms	Oxytoxidae		109432	7558297
worms	Peridiniidae		109433	8159060
worms	Diplopsaliaceae	Matsuoka, 1988	109435	8249364
worms	Diplopsalidaceae	Matsuoka, 1988	109435	9393691
worms	Kolkwitziellaceae	Lindemann, 1928	109435	7819956
worms	Calciodinellaceae		109438	7813225
worms	Prorocentridae		109442	8411764
worms	Apsteinia	T.H.Abé, 1981	109453	7404507
worms	Oxyphysis	Kofoid, 1926	109466	8357328
worms	Helgolandicum	Stosch, 1969	109468	8148799
worms	Helgolandinium	von Stosch, 1969	109468	7363642
worms	Gessnerium	Halim ex Halim, 1967	109470	7498832
worms	Protogonyaulax	F.J.R.Taylor, 1979	109470	8005470
worms	Proaulax	Diesing, 1866	109475	8974470
worms	Rhizodinium	Baumeister ex Bourrelly, 1955	109475	8266432
worms	Massartia	Conrad, 1926	109477	7614729
worms	Pouchetia	Schütt, 1895	109490	7461331
worms	Slabberia	Oken, 1815	109500	7825046
worms	Diplopeltopsis	Pavillard, 1913	109505	7791278
worms	Zygabikodinium	Loeblich Jr. & Loeblich III, 1970	109505	8221806
worms	Dimastigoaulax	Diesing, 1866	109506	7363946
worms	Goniaulax		109519	7849713
worms	Roulea	Gourret, 1883	109519	8388100
worms	Spiraulaxina	Loeblich III, 1970	109519	8223252
worms	Steiniella	Schütt, 1895	109519	7807323
worms	Scripsiella		109545	8018284
worms	Podolampus		109550	7668193
worms	Congruentidium	T.H.Abé, 1927	109553	3206016
worms	Multispinula	M.R.Bradford, 1975	109553	8143733
worms	Mesoporus		109564	7351235
worms	Exuviaella	Cienkowski, 1881	109566	7895178
worms	Exuviella	Cienkowski, 1881	109566	7605078
worms	Diplodinium	Klebs, 1912	109571	8197494
worms	Dissodinium	Klebs, 1916	109571	7814843
worms	Murracystis	Haeckel, 1890	109571	9638400
worms	Apsteinia acuta	(Apstein) T.H.Abé, 1981	109583	7404507
worms	Diplopsalis acuta	(Apstein) Entz, 1906	109583	5424652
worms	Entzia acuta	(Apstein) Lebour, 1922	109583	8331109
worms	Glenodinium acutum	Apstein, 1896	109583	8384711
worms	Kolkwitziella gibbera	(Er.Lindemann) Er.Lindemann, 1928	109583	8192264
worms	Kolkwitziella salebrosa	Lindemann, 1919	109583	8192264
worms	Kolkwitziella salebrosa var. gibbera	Er.Lindemann, 1924	109583	8192264
worms	Peridinium latum	Paulsen, 1908	109583	7536081
worms	Dinophysis boehmii	Paulsen, 1949	109603	4379632
worms	Dinophysis borealis	Paulsen, 1949	109603	7834214
worms	Dinophysis ellipsoides	Kofoid, 1907	109603	7524232
worms	Dinophysis lachmanii	Solum, 1962	109603	7664669
worms	Dinophysis lachmannii	Paulsen, 1949	109603	7688575
worms	Dinophysis skagii	Paulsen, 1949	109603	7979019
worms	Dinophysis diegensis	Kofoid, 1907	109612	7357607
worms	Dinophysis homunculus	F.Stein, 1883	109612	7930624
worms	Dinophysis brevisulca	Tai & Skogsberg, 1934	109624	7619704
worms	Dinophysis brevisulcus	Tai & Skogsberg, 1934	109624	7619704
worms	Dinophysis intermedia	Pavillard, 1916	109624	7568871
worms	Dinophysis lapidistrigiliformis	Abé, 1967	109624	7716647
worms	Dinophysis ovum	Schütt, 1895 sensu Martin, 1929	109624	7932623
worms	Dinophysis ovum	F.Schütt, 1895	109624	7932623
worms	Phalacroma groenlandicum	J.Schiller, 1931	109626	7429949
worms	Phalacroma hastatum	Pavillard	109627	8336443
worms	Dinophysis debilior	Paulsen, 1949	109637	8327141
worms	Dinophysis norvegica var. debilior	Paulsen, 1907	109637	7887858
worms	Phalacroma odiosum	Pavillard, 1930	109638	8122407
worms	Prodinophysis odiosa	(Pavillard) Loeblich III	109638	3205203
worms	Dinophysis caudata var. tripos	(Gourret) Gail, 1950	109662	3205170
worms	Helgolandicum subglobosum	Stosch	109705	7551446
worms	Helgolandinium subglobosum	Stosch, 1969	109705	7551446
worms	Alexandrium angustitabulatum	F.J.R.Taylor, 1995	109711	8003697
worms	Alexandrium ibericum	Balech, 1985	109711	7688801
worms	Alexandrium lusitanicum	Balech, 1985	109711	8329235
worms	Pyrodinium minutum	(Halim) Taylor, 1976	109711	7500512
worms	Alexandrium peruvianum	(Balech & Mendiola) Balech & Tangen, 1985	109712	8426042
worms	Gessnerium ostenfeldii	(Paulsen) Loeblich & Loeblich III, 1979	109712	3205144
worms	Glenodinium ostenfeldii	Paulsen, 1903	109712	8384711
worms	Goniaulax ostenfeldii	(Paulsen) Paulsen, 1949	109712	7691281
worms	Goniaulux ostenfeldii	(Paulsen) Paulsen, 1949	109712	6789187
worms	Goniaulux tamarensis var. globosa	Braarud, 1945	109712	3205093
worms	Goniodoma ostenfeldii	Paulsen, 1904	109712	5424469
worms	Gonyaulax dimorpha	Biecheler, 1952	109712	9594474
worms	Gonyaulax globosa	(Braarud) Balech, 1971	109712	7385284
worms	Gonyaulax ostenfeldii	(Paulsen) Paulsen, 1949	109712	8187199
worms	Gonyaulax peruviana	E.Balech & B.R.E. de Mendiola, 1977	109712	3205084
worms	Gonyaulax phoenus	(Woloszynbska & Conrad) F.J.R. Taylor, 1975	109712	9594474
worms	Gonyaulax phoneus	(Woloszynsky & Conrad) Loeblich & Loeblich	109712	9594474
worms	Gonyaulax tamarensis var. globosa	Braarud, 1945	109712	3205093
worms	Gonyaulax trygvei	Parke, 1976	109712	9594474
worms	Heteraulacus ostenfeldii	(Paulsen) Loeblich III, 1970	109712	7402155
worms	Protogonyaulax dimorpha	(Biecheler) F.J.R. Taylor, 1979	109712	8005470
worms	Protogonyaulax globosa	(Braarud) F.R.Taylor, 1979	109712	8005470
worms	Protogonyaulax ostenfeldii	(Paulsen) S.Fraga & F.J.Sánchez, 1985	109712	8005470
worms	Protogonyaulax phoneus	(Woloszynska & Conrad) F.J.R.Taylor, 1979	109712	8005470
worms	Pyrodinium phoneus	Woloszynskia & Conrad, 1939	109712	8281265
worms	Triadinium ostenfeldii	(Paulsen) J.D.Dodge, 1981	109712	5424470
worms	Alexandrium pseudogoniaulax	(Biecheler, 1952) Horiguchi, 1983 ex Kita & Fukuyo, 1992	109713	8024067
worms	Goniodoma pseudogoniaulax	Biecheler, 1952	109713	7985211
worms	Goniodoma pseudogonyaulax	Biecheler, 1952	109713	7985211
worms	Triadinium pseudogonyaulax	(Biecheleler) J.D.Dodge, 1981	109713	7518228
worms	Gessnerium tamarensis	(Lebour) Loeblich III & L.Loeblich, 1979	109714	7899157
worms	Gonyaulax tamarensis	Lebour, 1925	109714	3205093
worms	Protogonyaulax tamarensis	(Lebour) F.J.R.Taylor, 1979	109714	8096159
worms	Dictyota pentasterias	Ehrenberg, 1840	109717	7543760
worms	Gymnaster pentasterias	Schütt	109717	8375658
worms	Amphidinium acutum	J.Schiller, 1928	109718	3207399
worms	Amphidinium klebsii	N.Carter, 1937	109723	8144748
worms	Amphidinium microcephalum	R.E.Norris	109723	7866012
worms	Amphidinium phaeocysticola	Lebour, 1925	109726	8033867
worms	Amphidinium elegans	Grell & Wohlfarth-Bottermann, 1957	109745	7356127
worms	Prorocentrum ovoideum	Lemmermann, 1896	109746	8069717
worms	Gymnodinium helix	Pouchet, 1887	109767	3207519
worms	Gymnodinium helix	Schütt, 1895	109767	3207519
worms	Cystodinium gessneri	(Baumeister) Bourrelly, 1970	109794	7597573
worms	Gymnodinium gessneri	(Baumeister) Bourrelly, 1970	109794	3207519
worms	Peridinium fuscum	Ehrenberg, 1834	109794	7453566
worms	Rhizodinium gessneri	(Baumeister) Loeblich Jr. & Loeblich III, 1968	109794	8266432
worms	Glenodinium minimum	Bachmann, 1923	109807	8384711
worms	Gymnodinium macronucleum	Litvinenko, 1963	109807	3207519
worms	Gymnodinium irregulare	Christen, 1959	109834	8130273
worms	Gyrodinium traunsteineri	Lindemann, 1928	109834	7978988
worms	Melodinium uberrimum	Kent, 1880	109834	3207697
worms	Peridinium uberrima	G.J.Allman, 1855	109834	3207700
worms	Spirodinium spirale var. acutum	Lebour, 1917	109843	5424823
worms	Gymnodinium crassum	Pouchet, 1885	109849	3207519
worms	Spirodinium crassum	Lemmermann, 1899	109849	7874472
worms	Spirodinium fusus	Meunier, 1910	109856	5424826
worms	Gyrodinium lacryma	(Meunier) Kofoid & Swezy	109859	3207374
worms	Spirodinium lachryma	Meunier, 1910	109859	7874472
worms	Cochlodinium longum	Lohmann, 1908	109861	7565797
worms	Gymnodinium spirale var. pepo	Schütt, 1895	109871	7769362
worms	Spirodinium spirale var. pepo	Lemmermann, 1899	109871	5424823
worms	Gymnodinium spirale var. pinguis	Schütt, 1895	109872	7769362
worms	Spirodinium spirale var. pingue	Lemmermann, 1899	109872	5424823
worms	Gymnodinium spirale	Bergh, 1882	109876	7769362
worms	Spirodinium spirale	Entz, 1884	109876	5424823
worms	Gymnodinium asymmetricum	Massart, 1920	109882	8201315
worms	Massartia asymmetrica	(Massart) J.Schiller, 1933	109882	7381652
worms	Gymnodinium teredo	Pouchet, 1885	109890	8050426
worms	Hemidinium brasiliense	C.E.M.Bicudo & Skvortsov, 1970	109891	9145872
worms	Hemidinium nasutum var. tatricum	Woloszynska, 1930	109891	7500141
worms	Hemidinium olivaceum	Skvortsov, 1968	109891	9145872
worms	Hemidinium tumidum	Skvortsov, 1946	109891	9145872
