scientific_name	rank	aphia_id	parent_name	parent_id	authority	status	kingdom	phylum	class	order	family	genus	classification
Lohmanniella oviformis	Species	101209	Lohmanniella	101180	Leegaard, 1915	accepted	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Lohmanniellidae	Lohmanniella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Lohmanniellina - [Family] Lohmanniellidae - [Genus] Lohmanniella - [Species] Lohmanniella oviformis
Pelagostrobilidium spirale	Species	341692	Pelagostrobilidium	101182	(Leegaard, 1915) Petz, Song & Wilbert, 1995	accepted	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Strobilidiidae	Pelagostrobilidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Strobilidiina - [Family] Strobilidiidae - [Genus] Pelagostrobilidium - [Species] Pelagostrobilidium spirale
Laboea strobila	Species	101264	Laboea	101190	Lohmann, 1908	accepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Tontoniidae	Laboea	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Tontoniidae - [Genus] Laboea - [Species] Laboea strobila
Bicosoeca	Genus	103987	Bicosoecaceae	22574	H.J.Clark, 1868	accepted	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca
Bicosoeca gracilipes	Species	103996	Bicosoeca	103987	H.J.Clark, 1868	accepted	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca gracilipes
Pseudobodo tremulans	Species	104015	Pseudobodo	103990	Griessmann, 1913	accepted	Chromista	Bigyra	Bicoecea	Bicoecida	Cafeteriaceae	Pseudobodo	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Cafeteriaceae - [Genus] Pseudobodo - [Species] Pseudobodo tremulans
Acanthocorbis unguiculata	Species	105546	Acanthocorbis	105501	(Thomsen) Hara & Takahashi, 1984	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Acanthocorbis	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Acanthocorbis - [Species] Acanthocorbis unguiculata
Bicosta antennigera	Species	105556	Bicosta	105505	Moestrup, 1979	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Bicosta	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Bicosta - [Species] Bicosta antennigera
Bicosta minor	Species	105557	Bicosta	105505	(Reynolds) Leadbeater, 1978	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Bicosta	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Bicosta - [Species] Bicosta minor
Bicosta spinifera	Species	105558	Bicosta	105505	(Throndsen) Leadbeater, 1978	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Bicosta	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Bicosta - [Species] Bicosta spinifera
Calliacantha longicaudata	Species	105559	Calliacantha	105506	(Leadbeater) Leadbeater, 1978	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Calliacantha	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Nudiform] - [Genus] Calliacantha - [Species] Calliacantha longicaudata
Calliacantha natans	Species	105561	Calliacantha	105506	(Grøntved) Leadbeater, 1978	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Calliacantha	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Nudiform] - [Genus] Calliacantha - [Species] Calliacantha natans
Calliacantha simplex	Species	105562	Calliacantha	105506	Manton & Oates, 1979	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Calliacantha	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Nudiform] - [Genus] Calliacantha - [Species] Calliacantha simplex
Cosmoeca ventricosa	Species	105568	Cosmoeca	105510	Thomsen, 1984	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Cosmoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Cosmoeca - [Species] Cosmoeca ventricosa
Crinolina isefiordensis	Species	105569	Crinolina	105511	Thomsen, 1976	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Crinolina	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Crinolina - [Species] Crinolina isefiordensis
Diaphanoeca grandis	Species	105571	Diaphanoeca	105513	Ellis, 1930	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Diaphanoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Diaphanoeca - [Species] Diaphanoeca grandis
Diaphanoeca pedicellata	Species	105573	Diaphanoeca	105513	Leadbeater, 1972	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Diaphanoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Diaphanoeca - [Species] Diaphanoeca pedicellata
Diaphanoeca sphaerica	Species	105574	Diaphanoeca	105513	Thomsen, 1982	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Diaphanoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Diaphanoeca - [Species] Diaphanoeca sphaerica
		843863	Aulacoseira	148959		quarantined							
