scientific_name	aphia_id	scientific_name_accepted	aphia_id_accepted
Siphonema	603298	Siphononema	600988
Phormidium subuliforme	177552	Phormidium thwaitesii	657811
Tychonema exposirum	619653	Phormidium exospirum	619653
Spirogyra grossi	623280	Spirogyra fluviatilis var. grossii	846081
Staurastrum curvatum	578398	Staurodesmus cuspidicurvatus	839209
Spirogyra longata	847423	Spirogyra decimina var. elongata	846080
Crucigeniella	172484	Crucigenia	178617
Scenedesmus verrucosus	610924	Verrucodesmus verrucosus	839179
Scenedesmus quadricauda var. maximus	696154	Desmodesmus maximus	249713
Scenedesmus planctonicus	661421	Pseudodidymocystis planctonica	613604
Stromatella	143939	Neostromatella	836601
Uronema marinus	172341	Uronema marinum	172341
Carteria globosa	238801	Carteria pseudoglobosa	555694
Phacus helicoides	163373	Phacus helikoides	163373
Kolkwitziellaceae	231845	Protoperidiniaceae	109435
Peridinium umbonatum	110196	Parvodinium umbonatum	837535
Amphidinium pellucidum	109748	Gymnodinium venator	547469
Amphidinium semilunatum	109753	Ankistrodinium semilunatum	836894
Ceratium inflatum	109958	Tripos inflatus	837455
Stephanodiscus tenuis	163420	Stephanodiscus tenuis var. tenuis	971749
Cyclotella comta	959446	Cyclotella comta var. glabriuscula	179634
Cyclotella comta var. radiosa	163214	Cyclotella comta f. radiosa	984107
Cyclotella kuetzingiana	418570	Pantocsekiella kuetzingiana	1304212
Cyclotella operculata	156651	Epithemia operculata	1325509
Discostella pseudostelligera	699561	Cyclotella pseudostelligera	148999
Aulacoseira granulata var. angustissima	162865	Melosira granulata f. angustissima	984183
Podosira stelligera	966501	Hyalodiscus stelliger f. stelliger	984312
Melosira arctica	967160	Melosira arctica var. arctica	976453
Melosira nummuloides	149044	Melosira discigera	635472
Guinardia striata	149113	Eucampia striata	163243
Rhizosolenia eriensis	163521	Rhizosolenia eriensis f. eriensis	985162
Tetracyclus rupestris	965738	Denticula thermalis var. rupestris	686495
Ceratoneis arcus	593830	Hannaea arcus	180342
Fossula	450725	Fossulaphycus	1475704
Fragilaria delidatissima	665157	Synedra delicatissima f. delicatissima	985550
Fragilaria capitellata	667263	Fragilaria recapitellata	624288
Fragilaria capucina s.lat.	149361	Fragilaria capucina	149361
Fragilaria virescens	172412	Fragilariforma virescens	172411
